                               c.ID                             c.Name                           c.Salary                           c.Nation                            c.Group                            c.Email                     c.RegisterDate                               e.ID                       e.CustomerID                         e.Nickname                        e.BirthDate                           e.CityID                              ci.ID                         ci.stateID                            ci.Name                      ci.Population                               s.ID                             s.Name                       s.Population                              s.GDP
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1149                              29116                               Roni                         2012-09-31                                727                                727                                 40                           Aberdeen                              20097                                 40                        SouthDakota                             886741                             871545
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1150                               5848                             Angela                         2012-06-24                                413                                413                                 25                           Hannibal                              29202                                 25                            Montana                            1934408                             947605
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1151                              28685                              Kelly                         2012-04-20                                970                                970                                 11                              Boise                             225745                                 11                              Idaho                            1787065                             656710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1152                              19495                             Walter                         2012-06-24                                138                                138                                  0                             Auburn                              90674                                  0                            Alabama                            4903185                             594835
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1153                              22347                             Esther                         2012-06-24                                795                                795                                 25                            Lebanon                              19089                                 25                            Montana                            1934408                             947605
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1154                              24121                              Marie                         2012-04-20                                687                                687                                 31                            Bedford                              49302                                 31                            NewYork                           19453625                             825349
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1155                              12125                             Walter                         2012-12-27                                264                                264                                 26                            Chadron                             146623                                 26                           Nebraska                            1068542                             120140
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1157                               2946                               Carl                         2012-12-27                                589                                589                                 49                            Buffalo                             163867                                 49                            Wyoming                             578759                             524444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1158                               4328                              Linda                         2012-04-20                                621                                621                                  2                             Bisbee                             228240                                  2                            Arizona                            7278717                             918409
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1159                              24042                                Kay                         2012-04-20                                262                                262                                  8                              Ocala                             190298                                  8                            Florida                           21477737                             742355
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1160                               8103                               Lola                         2012-01-25                                683                                683                                 11                          Blackfoot                             154323                                 11                              Idaho                            1787065                             656710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1161                               6071                            Barbara                         2012-12-27                                461                                461                                 32                            Kinston                              35206                                 32                      NorthCarolina                           10488521                             902778
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1162                              26143                          Priscilla                         2012-06-24                                563                                563                                 10                           Honolulu                             220452                                 10                             Hawaii                            1415872                             210444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1163                              20392                              Bryce                         2012-09-31                                476                                476                                 38                           Wickford                             136218                                 38                        RhodeIsland                            1053698                             674938
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1164                              29952                            Beverly                         2012-04-20                                785                                785                                  8                              Miami                             234767                                  8                            Florida                           21477737                             742355
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1165                              19021                               John                         2012-09-31                                 70                                 70                                 16                           Danville                              81729                                 16                           Kentucky                            4467673                             582328
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1166                              14123                            Rogelio                         2012-09-31                                269                                269                                 32                         Washington                              64708                                 32                      NorthCarolina                           10488521                             902778
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1167                              18522                              David                         2012-04-20                                529                                529                                 14                             Keokuk                             214395                                 14                               Iowa                            3155070                             325710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1168                               5757                            Heather                         2012-06-24                                239                                239                                  5                           Brighton                             191467                                  5                           Colorado                            5758736                             370364
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1170                               6638                              Jerry                         2012-09-31                                225                                225                                 38                         Barrington                              77289                                 38                        RhodeIsland                            1053698                             674938
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1171                              25774                            William                         2012-12-27                                268                                268                                 49                            Laramie                             172418                                 49                            Wyoming                             578759                             524444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1172                              10060                              Patsy                         2012-12-27                                625                                625                                 30                              Acoma                             133106                                 30                          NewMexico                            2096829                             903087
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1173                              12784                             Thomas                         2012-12-27                                744                                744                                 34                              Niles                              84042                                 34                               Ohio                           11689110                             780972
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1174                              20356                          Stephanie                         2012-06-24                                327                                327                                 17                          Abbeville                             183775                                 17                          Louisiana                            4648794                             277634
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1175                              23325                             Manuel                         2012-12-27                                792                                792                                 41                            Lebanon                             114802                                 41                          Tennessee                            6829174                             124653
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1176                              26212                              Wendy                         2012-12-27                                853                                853                                 41                              Alcoa                             144115                                 41                          Tennessee                            6829174                             124653
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1177                              14219                              Scott                         2012-04-20                                437                                437                                 45                    Charlottesville                              76354                                 45                           Virginia                            8535247                             309225
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1178                               5461                            Orlando                         2012-12-27                                949                                949                                  3                        Arkadelphia                              51856                                  3                           Arkansas                            3017804                             454302
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1179                              25886                              David                         2012-06-24                                 24                                 24                                 37                            Altoona                              97686                                 37                       Pennsylvania                           12801524                             610909
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1180                               7470                           Brittany                         2012-01-25                                841                                841                                  8                            Orlando                             131902                                  8                            Florida                           21477737                             742355
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1181                               8943                             Amanda                         2012-12-27                                965                                965                                 16                            Ashland                             217318                                 16                           Kentucky                            4467673                             582328
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1182                               5811                          Elizabeth                         2012-01-25                                303                                303                                  9                             Athens                             196462                                  9                            Georgia                           10617423                             595910
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1183                               9802                             Daniel                         2012-09-31                                828                                828                                 10                               Laie                              98850                                 10                             Hawaii                            1415872                             210444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1185                              10037                             Judith                         2012-01-25                                313                                313                                  0                             Athens                             124208                                  0                            Alabama                            4903185                             594835
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1186                              12063                              Julie                         2012-04-20                                368                                368                                  1                             Haines                              65737                                  1                             Alaska                             731545                             194665
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1187                              22753                                Kim                         2012-01-25                                720                                720                                 11                          IdahoCity                             226466                                 11                              Idaho                            1787065                             656710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1188                              27350                              James                         2012-06-24                                  5                                  5                                 17                              Houma                              16684                                 17                          Louisiana                            4648794                             277634
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1189                               5598                            Richard                         2012-01-25                                643                                643                                 34                              Akron                              96292                                 34                               Ohio                           11689110                             780972
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1190                              12629                             Dorian                         2012-09-31                                333                                333                                 30                         Farmington                             168385                                 30                          NewMexico                            2096829                             903087
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1191                              13741                                Kim                         2012-09-31                                484                                484                                 32                           Asheboro                             132897                                 32                      NorthCarolina                           10488521                             902778
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1192                              17051                              Ruben                         2012-12-27                                800                                800                                 44                           Winooski                              65458                                 44                            Vermont                             623658                             144686
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1193                              10552                              David                         2012-04-20                                327                                327                                 17                          Abbeville                             183775                                 17                          Louisiana                            4648794                             277634
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1194                               8904                             Harold                         2012-04-20                                492                                492                                  9                           Americus                              57743                                  9                            Georgia                           10617423                             595910
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1195                               9869                            Tiffany                         2012-06-24                                584                                584                                 49                         Torrington                             249526                                 49                            Wyoming                             578759                             524444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1196                              13288                              Ralph                         2012-06-24                                986                                986                                 33                              Minot                             210023                                 33                        NorthDakota                             762062                             586738
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1197                              12235                           Jennifer                         2012-01-25                                474                                474                                 16                              Berea                             138224                                 16                           Kentucky                            4467673                             582328
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1198                               3186                            Ladonna                         2012-12-27                                147                                147                                 11                           Caldwell                             139418                                 11                              Idaho                            1787065                             656710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1199                               9088                              Keith                         2012-01-25                                757                                757                                  7                              Lewes                             208910                                  7                           Delaware                             973764                             571106
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1200                               5599                             Willie                         2012-06-24                                461                                461                                 32                            Kinston                              35206                                 32                      NorthCarolina                           10488521                             902778
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1201                               9536                             Gloria                         2012-09-31                                754                                754                                 18                            Augusta                              66832                                 18                              Maine                            1344212                             634082
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1202                               2569                              Derek                         2012-09-31                                221                                221                                 21                             Adrian                             237419                                 21                           Michigan                            9986857                             543891
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1203                               4449                             Harold                         2012-04-20                                857                                857                                 43                              Price                              57921                                 43                               Utah                            3205849                             595012
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1204                              26532                               John                         2012-04-20                                846                                846                                 26                             Sidney                              47142                                 26                           Nebraska                            1068542                             120140
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1205                              19789                            Gregory                         2012-06-24                                792                                792                                 41                            Lebanon                             114802                                 41                          Tennessee                            6829174                             124653
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1206                               6972                               Fred                         2012-06-24                                712                                712                                 24                           Anaconda                              98192                                 24                           Missouri                            1068778                             651086
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1207                              23018                              Betty                         2012-09-31                                813                                813                                 26                               Oman                             196864                                 26                           Nebraska                            1068542                             120140
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1208                               3449                              James                         2012-01-25                                553                                553                                 20                             Newton                              24078                                 20                      Massachusetts                            6892503                             753636
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1209                              20825                          Frederick                         2012-04-20                                757                                757                                  7                              Lewes                             208910                                  7                           Delaware                             973764                             571106
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1210                              29758                          Elizabeth                         2012-06-24                                563                                563                                 10                           Honolulu                             220452                                 10                             Hawaii                            1415872                             210444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1211                              18367                              Essie                         2012-06-24                                795                                795                                 25                            Lebanon                              19089                                 25                            Montana                            1934408                             947605
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1212                              12756                              James                         2012-12-27                                317                                317                                 22                             Canton                             163118                                 22                          Minnesota                            5639632                             548444
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1213                               6937                            Stanley                         2012-01-25                                871                                871                                 43                              Provo                             103961                                 43                               Utah                            3205849                             595012
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1214                              20280                              Brian                         2012-12-27                                970                                970                                 11                              Boise                             225745                                 11                              Idaho                            1787065                             656710
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1215                              14497                              Karin                         2012-09-31                                439                                439                                  5                            Boulder                             182563                                  5                           Colorado                            5758736                             370364
                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               NULL                               1216                               9621                             Mathew                         2012-09-31                                757                                757                                  7                              Lewes                             208910                                  7                           Delaware                             973764                             571106
